song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
"Thank U, Next",Ariana Grande,1,1.0,1,8,6dcc5517-9b5c-43f8-85f0-f25beb95a293,,,,,,,,,
Without Me,Halsey,2,2.0,2,12,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy
All I Want For Christmas Is You,Mariah Carey,3,7.0,3,30,88b1a733-5935-47c6-a2b2-9f72f072948f,danceable,pop,female,not_aggressive,voice,150.164459229,G,0.871298909187,happy
Sicko Mode,Travis Scott,4,3.0,1,21,69913c93-47b1-4196-acc9-f492f6db35f5,,,,,,,,,
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,5,4.0,4,10,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy
High Hopes,Panic! At The Disco,6,6.0,5,21,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,Marshmello & Bastille,7,5.0,3,19,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy
Jingle Bell Rock,Bobby Helms,8,13.0,8,25,53e1adf4-663f-4e8c-8899-d2070e5f8f5d,,,,,,,,,
Rockin' Around The Christmas Tree,Brenda Lee,9,11.0,9,27,1c6fd710-3c21-4ae6-ae73-eb4d49986b0e,,,,,,,,,
A Holly Jolly Christmas,Burl Ives,10,12.0,10,10,4750a94b-a12c-47dd-a434-7f4b58d4560f,not_danceable,rhy,male,not_aggressive,voice,92.9213485718,C,0.853794634342,happy
The Christmas Song (Merry Christmas To You),Nat King Cole,11,17.0,11,17,1a84d2a7-a836-49ed-b56d-daca8d840fdd,,,,,,,,,
Drip Too Hard,Lil Baby & Gunna,12,9.0,4,15,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy
It's The Most Wonderful Time Of The Year,Andy Williams,13,10.0,10,10,bac13621-aed8-43b8-86f2-c3b7762e73eb,not_danceable,pop,male,not_aggressive,voice,101.497619629,D,0.802173256874,happy
Girls Like You,Maroon 5 Featuring Cardi B,14,15.0,1,31,f7a4d178-cd3a-4f19-8951-8e84486d4a36,,,,,,,,,
ZEZE,Kodak Black Featuring Travis Scott & Offset,15,8.0,2,11,bf5fdcbb-8108-4cf1-ae65-2aeb3fa3c280,,,,,,,,,
Rudolph The Red-Nosed Reindeer,Gene Autry,16,28.0,16,4,84904574-7d1e-40a0-bb4c-a5dcde724b0f,,,,,,,,,
Mo Bamba,Sheck Wes,17,16.0,6,18,a36d5faf-376b-41f7-ba54-97df8f2e17ca,,,,,,,,,
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,18,14.0,11,15,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy
Money,Cardi B,19,30.0,13,10,285cc41e-e9b1-435d-92b7-3f88733afca1,,,,,,,,,
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,32.0,20,4,94098eb7-52b3-43c5-838a-862669c139ba,,,,,,,,,
Eastside,"benny blanco, Halsey & Khalid",21,18.0,16,24,bda15326-0c46-4bbd-954d-163de73f5365,,,,,,,,,
Breathin,Ariana Grande,22,19.0,12,19,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy
Better Now,Post Malone,23,21.0,3,35,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Youngblood,5 Seconds Of Summer,24,20.0,7,30,29f9b50f-5771-4403-85d3-a9e09fec1693,,,,,,,,,
Last Christmas,Wham!,25,27.0,25,9,f069a815-7741-43fd-bb24-9be1f7c3661a,danceable,pop,female,not_aggressive,instrumental,106.96320343,A,0.960412025452,happy
Sleigh Ride,The Ronettes,26,33.0,26,3,9abaaa73-fa68-4e03-9edc-d1992d9825d4,danceable,pop,female,not_aggressive,voice,91.3818435669,A,0.9461992383,happy
Lucid Dreams,Juice WRLD,27,23.0,2,33,e7e7afbb-ffba-4a06-bb2e-745e6ee98979,,,,,,,,,
