song,artist,this_week,last_week,peak_position,weeks_on_chart
I Heard It Through The Grapevine,Marvin Gaye,1,1,1,7
For Once In My Life,Stevie Wonder,2,2,2,10
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,3,7,3,5
Soulful Strut,Young-Holt Unlimited,4,16,4,6
Wichita Lineman,Glen Campbell,5,4,4,10
Cloud Nine,The Temptations,6,10,6,8
Love Child,Diana Ross & The Supremes,7,3,1,12
Stormy,Classics IV Featuring Dennis Yost,8,5,5,11
Who's Making Love,Johnnie Taylor,9,8,5,11
Hooked On A Feeling,B.J. Thomas,10,13,10,8
I Love How You Love Me,Bobby Vinton,11,9,9,10
Cinnamon,Derek,12,12,12,11
Too Weak To Fight,Clarence Carter,13,23,13,9
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,14,26,14,7
Going Up The Country,Canned Heat,15,20,15,5
"Abraham, Martin And John",Dion,16,6,4,11
Crimson And Clover,Tommy James And The Shondells,17,28,17,4
Son-Of-A Preacher Man,Dusty Springfield,18,21,18,6
Bring It On Home To Me,Eddie Floyd,19,17,17,12
See Saw,Aretha Franklin,20,14,14,7
Papa's Got A Brand New Bag,Otis Redding,21,24,21,6
Both Sides Now,Judy Collins,22,11,8,9
Hey Jude,The Beatles,23,15,1,17
Magic Carpet Ride,Steppenwolf,24,18,3,14
This Is My Country,The Impressions,25,38,25,6
If I Can Dream,Elvis Presley,26,30,26,6
Everyday People,Sly & The Family Stone,27,42,27,6
Hey Jude,Wilson Pickett,28,43,28,3
Can I Change My Mind,Tyrone Davis,29,66,29,3
Scarborough Fair,Sergio Mendes & Brasil '66,30,27,16,8
My Song,Aretha Franklin,31,36,31,6
A Ray Of Hope,The Rascals,32,32,32,5
Stand By Your Man,Tammy Wynette,33,34,33,9
Hang 'Em High,Booker T. & The MG's,34,40,34,9
There's Gonna Be A Showdown,Archie Bell & The Drells,35,49,35,4
Chewy Chewy,Ohio Express,36,19,15,12
Touch Me,The Doors,37,72,37,2
Worst That Could Happen,Brooklyn Bridge,38,53,38,3
Baby Let's Wait,The Royal Guardsmen,39,48,39,8
