song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
I Heard It Through The Grapevine,1969-01-04,Marvin Gaye,1,1,1,7,d220d3ea-9daf-4319-b6e2-f5a7d925c8ef
For Once In My Life,1969-01-04,Stevie Wonder,2,2,2,10,250e218e-4a6d-449c-89c8-5ba9bf0da6ad
I'm Gonna Make You Love Me,1969-01-04,Diana Ross And The Supremes & The Temptations,3,7,3,5,aa2b2c2d-60c4-4444-b880-0a21aced37df
Soulful Strut,1969-01-04,Young-Holt Unlimited,4,16,4,6,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c
Wichita Lineman,1969-01-04,Glen Campbell,5,4,4,10,44e5ab8d-d9c9-4ea1-b414-35daf627692b
Cloud Nine,1969-01-04,The Temptations,6,10,6,8,a236ad0b-f1f0-437e-aaed-7df445eb23fe
Love Child,1969-01-04,Diana Ross & The Supremes,7,3,1,12,34134c0d-ae64-4329-81d8-b86155a574d8
Who's Making Love,1969-01-04,Johnnie Taylor,9,8,5,11,b1667740-7a60-4067-a656-d6d56b3352e0
Hooked On A Feeling,1969-01-04,B.J. Thomas,10,13,10,8,5513860b-56fc-44a9-8021-e21850101151
I Love How You Love Me,1969-01-04,Bobby Vinton,11,9,9,10,40bae581-2dd1-42f7-bc8f-4d245794ba96
Cinnamon,1969-01-04,Derek,12,12,12,11,8a219f88-6b7a-4cc8-8234-68b3874420b7
"Abraham, Martin And John",1969-01-04,Dion,16,6,4,11,0d6cb0fb-46db-4ce0-9778-26af42071a40
Crimson And Clover,1969-01-04,Tommy James And The Shondells,17,28,17,4,38812525-a9ab-4660-b6f5-7e34cd57af16
Son-Of-A Preacher Man,1969-01-04,Dusty Springfield,18,21,18,6,f5ac67b4-2e37-4718-b40e-c49fc6cdb2b5
Bring It On Home To Me,1969-01-04,Eddie Floyd,19,17,17,12,dfc73658-c22e-4089-9166-5f799e24bee8
See Saw,1969-01-04,Aretha Franklin,20,14,14,7,b14e8bbe-66b5-4084-aee2-44322c2fb607
Papa's Got A Brand New Bag,1969-01-04,Otis Redding,21,24,21,6,f0a106bb-668b-4d8e-8b2b-c1de20ada3f6
Both Sides Now,1969-01-04,Judy Collins,22,11,8,9,eb538d67-2756-422c-84fe-7d6bfe9406a2
Hey Jude,1969-01-04,The Beatles,23,15,1,17,8ab055d0-015c-41d7-8370-0ab958edbd52
Magic Carpet Ride,1969-01-04,Steppenwolf,24,18,3,14,7cb902f6-92f5-4e73-810b-f5fce3b24187
This Is My Country,1969-01-04,The Impressions,25,38,25,6,4919c5e5-185d-4aed-96c1-12dcbe59c59d
If I Can Dream,1969-01-04,Elvis Presley,26,30,26,6,8a85521f-d952-46ea-8b7e-a6a0548a105e
Everyday People,1969-01-04,Sly & The Family Stone,27,42,27,6,ecc132a8-1023-4105-a107-2aba9dbe3369
Hey Jude,1969-01-04,Wilson Pickett,28,43,28,3,5ec5289a-903b-4724-b822-54a074c37380
Can I Change My Mind,1969-01-04,Tyrone Davis,29,66,29,3,1deceddf-47cd-465c-98fc-9846f8df7c47
Scarborough Fair,1969-01-04,Sergio Mendes & Brasil '66,30,27,16,8,80b58ec6-7b9d-4a13-8cad-74198ef829c4
A Ray Of Hope,1969-01-04,The Rascals,32,32,32,5,3adee984-3958-4e03-b0db-2ce0bacafccb
Stand By Your Man,1969-01-04,Tammy Wynette,33,34,33,9,e3bafffa-d74a-4781-9911-13d96d6e8c32
Hang 'Em High,1969-01-04,Booker T. & The MG's,34,40,34,9,fd7c5062-d369-46d2-a0e1-febe4b477c0e
There's Gonna Be A Showdown,1969-01-04,Archie Bell & The Drells,35,49,35,4,617db5ad-ef5a-4508-b7b5-1aba149a99c2
Chewy Chewy,1969-01-04,Ohio Express,36,19,15,12,dd7ff2b6-d733-4c63-9b7e-79aebdebeb29
Touch Me,1969-01-04,The Doors,37,72,37,2,7d0b3e3e-c6b9-4175-9325-628b27763fbd
Worst That Could Happen,1969-01-04,Brooklyn Bridge,38,53,38,3,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400
Baby Let's Wait,1969-01-04,The Royal Guardsmen,39,48,39,8,5fe1966b-b9cc-4269-abe8-27f2f017b5be
I Started A Joke,1969-01-04,Bee Gees,40,41,40,3,0692067b-99d4-428a-ae6d-6c4b866b93c1
Battle Hymn Of The Republic,1969-01-04,Andy Williams with the St. Charles Borromeo Choir,41,33,33,12,37ec4818-73b0-44fc-8e1c-8cae1c0bf73b
Bella Linda,1969-01-04,The Grass Roots,42,46,42,6,caaa9356-f5d9-4cc5-a62c-1b9ef6d071c6
Are You Happy,1969-01-04,Jerry Butler,43,57,43,5,0784925d-d220-4ed7-8da9-d4375ac61c7f
Ready Or Not Here I Come (Can't Hide From Love),1969-01-04,The Delfonics,44,50,44,5,e5f7a88d-8dcf-4638-a710-98e8f16411eb
Little Arrows,1969-01-04,Leapy Lee,45,22,16,13,7a4b70ca-bdaf-4e07-9f5a-bb708c9d559c
My Favorite Things,1969-01-04,Herb Alpert & The Tijuana Brass,46,47,46,4,d9f138cc-9ff7-45db-86c2-13f5cf4c51b9
People,1969-01-04,The Tymes,49,39,39,8,a06acd6a-ba95-44b1-b87a-de227ce7627d
