song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
"Thank U, Next",2019-01-05,Ariana Grande,1,1.0,1,8,46d32ced-77f7-4f85-b38b-1b547dc0722b,danceable,pop,female,not_aggressive,instrumental,106.925064087,A#,0.909109413624,not_happy
Without Me,2019-01-05,Halsey,2,2.0,2,12,e8460878-6581-4d57-9692-aee1d15009e7,,,,,,,,,
All I Want For Christmas Is You,2019-01-05,Mariah Carey,3,7.0,3,30,e267cd20-b6dd-4634-a072-b9e6c2de8a58,,,,,,,,,
Sicko Mode,2019-01-05,Travis Scott,4,3.0,1,21,b7326a80-8332-4ee0-8238-d6737efba347,danceable,hip,male,not_aggressive,voice,154.818984985,A#,0.832165181637,not_happy
Sunflower (Spider-Man: Into The Spider-Verse),2019-01-05,Post Malone & Swae Lee,5,4.0,4,10,74ce027a-e5a1-47f4-8997-68d89febca3f,,,,,,,,,
High Hopes,2019-01-05,Panic! At The Disco,6,6.0,5,21,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy
Happier,2019-01-05,Marshmello & Bastille,7,5.0,3,19,623b7611-08d9-4115-acd6-69f734dd3f24,danceable,pop,male,not_aggressive,voice,99.6053237915,A#,0.852668881416,not_happy
Jingle Bell Rock,2019-01-05,Bobby Helms,8,13.0,8,25,53e1adf4-663f-4e8c-8899-d2070e5f8f5d,,,,,,,,,
Rockin' Around The Christmas Tree,2019-01-05,Brenda Lee,9,11.0,9,27,d7b7bd27-6e39-4a0e-af7a-22e0a63ca489,,,,,,,,,
A Holly Jolly Christmas,2019-01-05,Burl Ives,10,12.0,10,10,4312089e-7c16-4c91-9665-964a29055729,,,,,,,,,
The Christmas Song (Merry Christmas To You),2019-01-05,Nat King Cole,11,17.0,11,17,4333a302-8553-46b2-b64a-a10159817901,,,,,,,,,
Drip Too Hard,2019-01-05,Lil Baby & Gunna,12,9.0,4,15,f65108f7-c7ea-4c86-be42-fff229d8cbfb,,,,,,,,,
It's The Most Wonderful Time Of The Year,2019-01-05,Andy Williams,13,10.0,10,10,9d19131f-5dd6-4aad-b0e8-b3e14125e30e,danceable,pop,female,aggressive,voice,111.442741394,D,0.941556930542,happy
Money,2019-01-05,Cardi B,19,30.0,13,10,554be879-81c1-4202-9c45-286af561182f,danceable,hip,female,not_aggressive,voice,130.017349243,A#,0.794337213039,not_happy
"Let It Snow, Let It Snow, Let It Snow",2019-01-05,Dean Martin,20,32.0,20,4,b4b14eaa-5370-478e-ad55-36bb00ff0456,,,,,,,,,
Eastside,2019-01-05,"benny blanco, Halsey & Khalid",21,18.0,16,24,787087cb-cb94-442d-98dd-2eddc59f1f84,danceable,rhy,female,not_aggressive,voice,89.8307800293,D,0.846083641052,not_happy
Breathin,2019-01-05,Ariana Grande,22,19.0,12,19,8d04d497-84b3-4a5b-85a1-46948e7f5f72,danceable,pop,female,not_aggressive,instrumental,99.7404251099,F,0.92124080658,not_happy
Better Now,2019-01-05,Post Malone,23,21.0,3,35,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy
Youngblood,2019-01-05,5 Seconds Of Summer,24,20.0,7,30,8c699381-20d8-44da-916f-fdbc009fe6cd,,,,,,,,,
Last Christmas,2019-01-05,Wham!,25,27.0,25,9,09284f8a-51af-4727-b672-2e9ab3b1f869,,,,,,,,,
Sleigh Ride,2019-01-05,The Ronettes,26,33.0,26,3,dd624765-1231-4bcd-82e5-f12decdb0ef9,,,,,,,,,
Lucid Dreams,2019-01-05,Juice WRLD,27,23.0,2,33,a31f849d-af28-48e8-a6e1-ecb7c9faea3b,,,,,,,,,
